 eps (GeV/fm^3)   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
 149.8248140485  46.4528961769  371.0353690461   0.0000000000
 150.9781425141  46.8250199225  373.2135140313   0.0000000000
 152.1380838232  47.1993259914  375.4000184833   0.0000000000
 153.3046631104  47.5758227512  377.5948982360   0.0000000000
 154.4779055575  47.9545185850  379.7981691228   0.0000000000
 155.6578363935  48.3354218918  382.0098469762   0.0000000000
 156.8444808945  48.7185410865  384.2299476281   0.0000000000
 158.0378643837  49.1038845999  386.4584869098   0.0000000000
 159.2380122315  49.4914608785  388.6954806517   0.0000000000
 160.4449498553  49.8812783846  390.9409446839   0.0000000000
 161.6587027198  50.2733455966  393.1948948355   0.0000000000
 162.8792963366  50.6676710083  395.4573469350   0.0000000000
 164.1067562648  51.0642631297  397.7283168105   0.0000000000
 165.3411081104  51.4631304864  400.0078202893   0.0000000000
 166.5823775265  51.8642816201  402.2958731981   0.0000000000
 167.8305902135  52.2677250879  404.5924913630   0.0000000000
 169.0857719190  52.6734694632  406.8976906094   0.0000000000
 170.3479484375  53.0815233348  409.2114867624   0.0000000000
 171.6171456108  53.4918953076  411.5338956462   0.0000000000
 172.8933893281  53.9045940023  413.8649330846   0.0000000000
 174.1767055253  54.3196280552  416.2046149008   0.0000000000
 175.4671201858  54.7370061188  418.5529569175   0.0000000000
 176.7646593401  55.1567368611  420.9099749567   0.0000000000
 178.0693490658  55.5788289660  423.2756848401   0.0000000000
 179.3812154876  56.0032911333  425.6501023886   0.0000000000
 180.7002847776  56.4301320786  428.0332434228   0.0000000000
 182.0265831550  56.8593605333  430.4251237626   0.0000000000
 183.3601368860  57.2909852445  432.8257592276   0.0000000000
 184.7009722843  57.7250149754  435.2351656367   0.0000000000
 186.0491157104  58.1614585047  437.6533588083   0.0000000000
 187.4045935722  58.6003246272  440.0803545606   0.0000000000
 188.7674323249  59.0416221533  442.5161687110   0.0000000000
 190.1376584706  59.4853599093  444.9608170766   0.0000000000
 191.5152985589  59.9315467374  447.4143154739   0.0000000000
 192.9003791863  60.3801914956  449.8766797191   0.0000000000
 194.2929269966  60.8313030574  452.3479256278   0.0000000000
 195.6929686810  61.2848903126  454.8280690153   0.0000000000
 197.1005309776  61.7409621666  457.3171256964   0.0000000000
 198.5156406718  62.1995275404  459.8151114853   0.0000000000
 199.9383245962  62.6605953712  462.3220421961   0.0000000000
 201.3686096308  63.1241746117  464.8379336423   0.0000000000
 202.8065227024  63.5902742306  467.3628016369   0.0000000000
 204.2520907853  64.0589032124  469.8966619925   0.0000000000
 205.7053409010  64.5300705574  472.4395305216   0.0000000000
 207.1663001181  65.0037852815  474.9914230359   0.0000000000
 208.6349955525  65.4800564167  477.5523553470   0.0000000000
 210.1114543672  65.9588930107  480.1223432658   0.0000000000
 211.5957037725  66.4403041270  482.7014026033   0.0000000000
 213.0877710259  66.9242988450  485.2895491697   0.0000000000
 214.5876834322  67.4108862597  487.8867987749   0.0000000000
 216.0954683432  67.9000754822  490.4931672286   0.0000000000
 217.6111531582  68.3918756391  493.1086703400   0.0000000000
 219.1347653234  68.8862958730  495.7333239181   0.0000000000
 220.6663323326  69.3833453423  498.3671437713   0.0000000000
 222.2058817264  69.8830332212  501.0101457078   0.0000000000
 223.7534410931  70.3853686997  503.6623455356   0.0000000000
 225.3090380678  70.8903609835  506.3237590621   0.0000000000
 226.8727003330  71.3980192943  508.9944020945   0.0000000000
 228.4444556186  71.9083528695  511.6742904396   0.0000000000
 230.0243317014  72.4213709622  514.3634399041   0.0000000000
 231.6123564056  72.9370828416  517.0618662942   0.0000000000
 233.2085576028  73.4554977924  519.7695854156   0.0000000000
 234.8129632115  73.9766251153  522.4866130741   0.0000000000
 236.4256011977  74.5004741267  525.2129650750   0.0000000000
 238.0464995745  75.0270541588  527.9486572232   0.0000000000
 239.6756864023  75.5563745598  530.6937053234   0.0000000000
 241.3131897888  76.0884446934  533.4481251801   0.0000000000
 242.9590378887  76.6232739393  536.2119325973   0.0000000000
 244.6132589042  77.1608716930  538.9851433790   0.0000000000
 246.2758810847  77.7012473658  541.7677733285   0.0000000000
 247.9469327267  78.2444103847  544.5598382494   0.0000000000
 249.6264421741  78.7903701926  547.3613539444   0.0000000000
 251.3144378180  79.3391362481  550.1723362165   0.0000000000
 253.0109480967  79.8907180258  552.9928008679   0.0000000000
 254.7160014959  80.4451250159  555.8227637011   0.0000000000
 256.4296265482  81.0023667245  558.6622405178   0.0000000000
 258.1518518340  81.5624526735  561.5112471198   0.0000000000
 259.8827059804  82.1253924006  564.3697993086   0.0000000000
 261.6222176622  82.6911954593  567.2379128854   0.0000000000
 263.3704156010  83.2598714188  570.1156036510   0.0000000000
 265.1273285662  83.8314298642  573.0028874063   0.0000000000
 266.8929853740  84.4058803965  575.8997799516   0.0000000000
 268.6674148880  84.9832326323  578.8062970873   0.0000000000
 270.4506460192  85.5634962042  581.7224546133   0.0000000000
 272.2427077257  86.1466807603  584.6482683294   0.0000000000
 274.0436290128  86.7327959648  587.5837540352   0.0000000000
 275.8534389334  87.3218514976  590.5289275300   0.0000000000
 277.6721665872  87.9138570544  593.4838046130   0.0000000000
 279.4998411215  88.5088223466  596.4484010829   0.0000000000
 281.3364917308  89.1067571016  599.4227327385   0.0000000000
 283.1821476567  89.7076710624  602.4068153783   0.0000000000
 285.0368381883  90.3115739880  605.4006648005   0.0000000000
 286.9005926619  90.9184756529  608.4042968032   0.0000000000
 288.7734404609  91.5283858477  611.4177271843   0.0000000000
 290.6554110162  92.1413143787  614.4409717413   0.0000000000
 292.5465338058  92.7572710679  617.4740462718   0.0000000000
 294.4468383550  93.3762657531  620.5169665731   0.0000000000
 296.3563542366  93.9983082882  623.5697484421   0.0000000000
 298.2751110702  94.6234085425  626.6324076758   0.0000000000
 300.2031385232  95.2515764013  629.7049600709   0.0000000000
 302.1404663100  95.8828217656  632.7874214238   0.0000000000
 304.0871241922  96.5171545524  635.8798075310   0.0000000000
 306.0431419788  97.1545846942  638.9821341885   0.0000000000
 308.0085495261  97.7951221395  642.0944171924   0.0000000000
 309.9833767376  98.4387768526  645.2166723384   0.0000000000
 311.9676535642  99.0855588135  648.3489154222   0.0000000000
 313.9614100038  99.7354780180  651.4911622392   0.0000000000
 315.9646761020 100.3885444778  654.6434285846   0.0000000000
 317.9774819513 101.0447682203  657.8057302537   0.0000000000
 319.9998576917 101.7041592887  660.9780830414   0.0000000000
 322.0318335103 102.3667277420  664.1605027424   0.0000000000
 324.0734396418 103.0324836551  667.3530051514   0.0000000000
 326.1247063678 103.7014371185  670.5556060629   0.0000000000
 328.1856640174 104.3735982387  673.7683212711   0.0000000000
 330.2563429670 105.0489771377  676.9911665703   0.0000000000
 332.3367736402 105.7275839538  680.2241577545   0.0000000000
 334.4269865078 106.4094288405  683.4673106176   0.0000000000
 336.5270120882 107.0945219675  686.7206409531   0.0000000000
 338.6368809468 107.7828735201  689.9841645548   0.0000000000
 340.7566236964 108.4744936996  693.2578972161   0.0000000000
 342.8862709970 109.1693927229  696.5418547302   0.0000000000
 345.0258535560 109.8675808226  699.8360528902   0.0000000000
 347.1754021281 110.5690682475  703.1405074893   0.0000000000
 349.3349475151 111.2738652617  706.4552343202   0.0000000000
 351.5045205663 111.9819821454  709.7802491756   0.0000000000
 353.6841521782 112.6934291946  713.1155678483   0.0000000000
 355.8738732945 113.4082167210  716.4612061306   0.0000000000
 358.0737149065 114.1263550520  719.8171798149   0.0000000000
 360.2837080525 114.8478545310  723.1835046934   0.0000000000
 362.5038838182 115.5727255171  726.5601965582   0.0000000000
 364.7342733365 116.3009783851  729.9472712012   0.0000000000
 366.9749077878 117.0326235257  733.3447444143   0.0000000000
 369.2258183995 117.7676713454  736.7526319892   0.0000000000
 371.4870364466 118.5061322664  740.1709497174   0.0000000000
 373.7585932511 119.2480167268  743.5997133905   0.0000000000
 376.0405201827 119.9933351804  747.0389387998   0.0000000000
 378.3328486579 120.7420980969  750.4886417366   0.0000000000
 380.6356101409 121.4943159616  753.9488379919   0.0000000000
 382.9488361431 122.2499992759  757.4195433568   0.0000000000
 385.2725582229 123.0091585567  760.9007736221   0.0000000000
 387.6068079865 123.7718043367  764.3925445787   0.0000000000
 389.9516170869 124.5379471646  767.8948720173   0.0000000000
 392.3070172249 125.3075976048  771.4077717284   0.0000000000
 394.6730401482 126.0807662375  774.9312595024   0.0000000000
 397.0497176519 126.8574636585  778.4653511298   0.0000000000
 399.4370815786 127.6377004796  782.0100624008   0.0000000000
 401.8351638178 128.4214873284  785.5654091055   0.0000000000
 404.2439963068 129.2088348482  789.1314070341   0.0000000000
 406.6636110299 129.9997536981  792.7080719764   0.0000000000
 409.0940400186 130.7942545531  796.2954197223   0.0000000000
 411.5353153520 131.5923481038  799.8934660616   0.0000000000
 413.9874691564 132.3940450567  803.5022267839   0.0000000000
 416.4505336052 133.1993561341  807.1217176788   0.0000000000
 418.9245409193 134.0082920740  810.7519545357   0.0000000000
 421.4095233671 134.8208636304  814.3929531441   0.0000000000
 423.9055132638 135.6370815728  818.0447292933   0.0000000000
 426.4125429723 136.4569566868  821.7072987723   0.0000000000
 428.9306449027 137.2804997734  825.3806773704   0.0000000000
 431.4598515124 138.1077216498  829.0648808766   0.0000000000
 434.0001953061 138.9386331487  832.7599250797   0.0000000000
 436.5517088358 139.7732451188  836.4658257687   0.0000000000
 439.1144247009 140.6115684244  840.1825987322   0.0000000000
 441.6883755479 141.4536139456  843.9102597590   0.0000000000
 444.2735940708 142.2993925785  847.6488246377   0.0000000000
 446.8701130109 143.1489152348  851.3983091567   0.0000000000
 449.4779651566 144.0021928420  855.1587291046   0.0000000000
 452.0971833439 144.8592363434  858.9301002695   0.0000000000
 454.7278004560 145.7200566982  862.7124384399   0.0000000000
 457.3698494233 146.5846648812  866.5057594039   0.0000000000
 460.0233632237 147.4530718832  870.3100789496   0.0000000000
 462.6883748822 148.3252887105  874.1254128651   0.0000000000
 465.3649174712 149.2013263856  877.9517769383   0.0000000000
 468.0530241105 150.0811959464  881.7891869571   0.0000000000
 470.7527279672 150.9649084468  885.6376587093   0.0000000000
 473.4640622555 151.8524749563  889.4972079827   0.0000000000
 476.1870602372 152.7439065605  893.3678505649   0.0000000000
 478.9217552212 153.6392143605  897.2496022436   0.0000000000
 481.6681805639 154.5384094733  901.1424788062   0.0000000000
 484.4263696688 155.4415030317  905.0464960402   0.0000000000
 487.1963559868 156.3485061842  908.9616697330   0.0000000000
 489.9781730162 157.2594300952  912.8880156720   0.0000000000
 492.7718543026 158.1742859449  916.8255496443   0.0000000000
 495.5774334388 159.0930849291  920.7742874373   0.0000000000
 498.3949440649 160.0158382596  924.7342448379   0.0000000000
 501.2244198686 160.9425571639  928.7054376332   0.0000000000
 504.0658945845 161.8732528853  932.6878816104   0.0000000000
 506.9194019949 162.8079366828  936.6815925561   0.0000000000
 509.7849759291 163.7466198313  940.6865862575   0.0000000000
 512.6626502639 164.6893136215  944.7028785012   0.0000000000
 515.5524589234 165.6360293598  948.7304850740   0.0000000000
 518.4544358790 166.5867783683  952.7694217626   0.0000000000
 521.3686151494 167.5415719852  956.8197043536   0.0000000000
 524.2950308006 168.5004215643  960.8813486336   0.0000000000
 527.2337169460 169.4633384750  964.9543703892   0.0000000000
 530.1847077462 170.4303341028  969.0387854066   0.0000000000
 533.1480374092 171.4014198488  973.1346094724   0.0000000000
 536.1237401903 172.3766071300  977.2418583729   0.0000000000
 539.1118503922 173.3559073791  981.3605478943   0.0000000000
 542.1124023647 174.3393320446  985.4906938230   0.0000000000
 545.1254305051 175.3268925908  989.6323119450   0.0000000000
 548.1509692581 176.3186004978  993.7854180465   0.0000000000
 551.1890531154 177.3144672615  997.9500279136   0.0000000000
 554.2397166164 178.3145043935 1002.1261573323   0.0000000000
 557.3029943475 179.3187234213 1006.3138220884   0.0000000000
 560.3789209425 180.3271358881 1010.5130379681   0.0000000000
 563.4675310828 181.3397533529 1014.7238207571   0.0000000000
 566.5688594968 182.3565873905 1018.9461862412   0.0000000000
 569.6829409602 183.3776495915 1023.1801502062   0.0000000000
 572.8098102963 184.4029515623 1027.4257284378   0.0000000000
 575.9495023755 185.4325049251 1031.6829367216   0.0000000000
 579.1020521156 186.4663213177 1035.9517908434   0.0000000000
 582.2674944816 187.5044123940 1040.2323065886   0.0000000000
 585.4458644861 188.5467898234 1044.5244997428   0.0000000000
 588.6371971887 189.5934652912 1048.8283860915   0.0000000000
 591.8415276966 190.6444504985 1053.1439814201   0.0000000000
 595.0588911641 191.6997571623 1057.4713015139   0.0000000000
 598.2893227929 192.7593970151 1061.8103621584   0.0000000000
 601.5328578322 193.8233818054 1066.1611791388   0.0000000000
 604.7895315781 194.8917232974 1070.5237682403   0.0000000000
 608.0593793746 195.9644332712 1074.8981452483   0.0000000000
 611.3424366125 197.0415235225 1079.2843259478   0.0000000000
 614.6387387302 198.1230058629 1083.6823261240   0.0000000000
 617.9483212133 199.2088921198 1088.0921615620   0.0000000000
 621.2712195949 200.2991941363 1092.5138480468   0.0000000000
 624.6074694552 201.3939237715 1096.9474013634   0.0000000000
 627.9571064219 202.4930928999 1101.3928372968   0.0000000000
 631.3201661699 203.5967134122 1105.8501716319   0.0000000000
 634.6966844215 204.7047972146 1110.3194201536   0.0000000000
 638.0866969464 205.8173562292 1114.8005986467   0.0000000000
 641.4902395614 206.9344023938 1119.2937228961   0.0000000000
 644.9073481309 208.0559476622 1123.7988086864   0.0000000000
 648.3380585663 209.1820040036 1128.3158718025   0.0000000000
 651.7824068267 210.3125834035 1132.8449280291   0.0000000000
 655.2404289182 211.4476978627 1137.3859931507   0.0000000000
 658.7121608944 212.5873593980 1141.9390829520   0.0000000000
 662.1976388562 213.7315800420 1146.5042132176   0.0000000000
 665.6968989519 214.8803718432 1151.0813997321   0.0000000000
 669.2099773769 216.0337468655 1155.6706582799   0.0000000000
 672.7369103741 217.1917171890 1160.2720046456   0.0000000000
 676.2777342338 218.3542949093 1164.8854546135   0.0000000000
 679.8324852934 219.5214921380 1169.5110239681   0.0000000000
 683.4011999378 220.6933210023 1174.1487284937   0.0000000000
 686.9839145992 221.8697936453 1178.7985839748   0.0000000000
 690.5806657571 223.0509222259 1183.4606061956   0.0000000000
 694.1914899383 224.2367189186 1188.1348109403   0.0000000000
 697.8164237170 225.4271959139 1192.8212139933   0.0000000000
 701.4555037146 226.6223654179 1197.5198311388   0.0000000000
 705.1087666001 227.8222396528 1202.2306781609   0.0000000000
 708.7762490894 229.0268308561 1206.9537708437   0.0000000000
 712.4579879462 230.2361512816 1211.6891249715   0.0000000000
 716.1540199812 231.4502131985 1216.4367563282   0.0000000000
 719.8643820525 232.6690288919 1221.1966806980   0.0000000000
 723.5891110656 233.8926106628 1225.9689138648   0.0000000000
 727.3282439733 235.1209708278 1230.7534716128   0.0000000000
 731.0818177758 236.3541217195 1235.5503697257   0.0000000000
 734.8498695203 237.5920756860 1240.3596239877   0.0000000000
 738.6324363018 238.8348450914 1245.1812501825   0.0000000000
 742.4295552624 240.0824423156 1250.0152640941   0.0000000000
 746.2412635914 241.3348797541 1254.8616815064   0.0000000000
 750.0675985257 242.5921698184 1259.7205182031   0.0000000000
 753.9085973493 243.8543249356 1264.5917899681   0.0000000000
 757.7642973936 245.1213575486 1269.4755125851   0.0000000000
 761.6347360375 246.3932801163 1274.3717018379   0.0000000000
 765.5199507070 247.6701051131 1279.2803735102   0.0000000000
 769.4199788755 248.9518450294 1284.2015433858   0.0000000000
 773.3348580638 250.2385123712 1289.1352272481   0.0000000000
 777.2646258400 251.5301196605 1294.0814408810   0.0000000000
 781.2093198193 252.8266794348 1299.0402000680   0.0000000000
 785.1689776647 254.1282042477 1304.0115205928   0.0000000000
 789.1436370862 255.4347066684 1308.9954182388   0.0000000000
 793.1333358411 256.7461992818 1313.9919087896   0.0000000000
